left,bottom,right
0.0916,0.9084,0
0.1935,0.668,0.1384
0.285,0.4988,0.2162
0.3911,0.3399,0.269
0.4771,0.2423,0.2806
0.5557,0.1718,0.2725
0.6413,0.1079,0.2509
0.6955,0.0716,0.2328
0.7297,0.0514,0.2189
0.7885,0.025,0.1865
0.8376,0.0121,0.1502
0.8692,0.0079,0.1229
0.9034,0.0044,0.0921
0.9406,0.0028,0.0566
0.97,0.0017,0.0283
0.9989,0.0011,0
